datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2026-04-20 09:15:00,204.9,NFO,21-APR-2026,212.55,132.95,138.85,1645540,Options,Put,NIFTY,24400.0,2559505
2026-04-20 09:16:00,213.0,NFO,21-APR-2026,222.1,192.35,202.6,2121795,Options,Put,NIFTY,24400.0,1758250
2026-04-20 09:17:00,190.0,NFO,21-APR-2026,216.15,189.15,208.85,2121795,Options,Put,NIFTY,24400.0,1427985
2026-04-20 09:18:00,196.8,NFO,21-APR-2026,202.0,183.4,189.65,2121795,Options,Put,NIFTY,24400.0,826280
2026-04-20 09:19:00,177.05,NFO,21-APR-2026,199.85,177.05,196.55,2960750,Options,Put,NIFTY,24400.0,615095
2026-04-20 09:20:00,163.75,NFO,21-APR-2026,176.95,161.75,175.15,2960750,Options,Put,NIFTY,24400.0,1613690
2026-04-20 09:21:00,162.6,NFO,21-APR-2026,170.8,161.25,162.45,2960750,Options,Put,NIFTY,24400.0,918840
2026-04-20 09:22:00,157.7,NFO,21-APR-2026,162.75,154.5,162.35,3331315,Options,Put,NIFTY,24400.0,901225
2026-04-20 09:23:00,154.45,NFO,21-APR-2026,159.15,152.55,157.8,3331315,Options,Put,NIFTY,24400.0,708825
2026-04-20 09:24:00,151.25,NFO,21-APR-2026,157.05,149.75,156.6,3331315,Options,Put,NIFTY,24400.0,906815
2026-04-20 09:25:00,142.15,NFO,21-APR-2026,152.85,139.0,151.45,4356820,Options,Put,NIFTY,24400.0,1864785
2026-04-20 09:26:00,155.95,NFO,21-APR-2026,156.75,141.45,142.8,4356820,Options,Put,NIFTY,24400.0,1718080
2026-04-20 09:27:00,150.55,NFO,21-APR-2026,156.65,150.3,156.45,4356820,Options,Put,NIFTY,24400.0,1006590
2026-04-20 09:28:00,148.0,NFO,21-APR-2026,150.5,142.1,150.35,5315505,Options,Put,NIFTY,24400.0,1294930
2026-04-20 09:29:00,153.85,NFO,21-APR-2026,154.3,147.1,148.55,5315505,Options,Put,NIFTY,24400.0,712335
2026-04-20 09:30:00,156.1,NFO,21-APR-2026,157.15,148.7,154.25,5315505,Options,Put,NIFTY,24400.0,1353625
2026-04-20 09:31:00,159.75,NFO,21-APR-2026,162.0,156.6,158.8,5952895,Options,Put,NIFTY,24400.0,1862120
2026-04-20 09:32:00,170.35,NFO,21-APR-2026,177.0,157.55,160.1,5952895,Options,Put,NIFTY,24400.0,2249585
2026-04-20 09:33:00,159.35,NFO,21-APR-2026,172.35,155.7,172.35,5952895,Options,Put,NIFTY,24400.0,1412905
2026-04-20 09:34:00,163.25,NFO,21-APR-2026,171.1,159.1,159.95,5271630,Options,Put,NIFTY,24400.0,973245
2026-04-20 09:35:00,162.75,NFO,21-APR-2026,169.05,158.45,162.95,5271630,Options,Put,NIFTY,24400.0,776100
2026-04-20 09:36:00,167.0,NFO,21-APR-2026,169.75,157.3,163.1,5271630,Options,Put,NIFTY,24400.0,812695
2026-04-20 09:37:00,165.9,NFO,21-APR-2026,168.75,163.1,167.9,5594550,Options,Put,NIFTY,24400.0,555165
2026-04-20 09:38:00,170.2,NFO,21-APR-2026,173.05,161.7,165.85,5594550,Options,Put,NIFTY,24400.0,1063140
2026-04-20 09:39:00,168.9,NFO,21-APR-2026,172.8,165.4,171.9,5594550,Options,Put,NIFTY,24400.0,756275
2026-04-20 09:40:00,169.3,NFO,21-APR-2026,174.8,167.35,169.7,5642000,Options,Put,NIFTY,24400.0,843960
2026-04-20 09:41:00,177.6,NFO,21-APR-2026,177.8,162.9,166.7,5642000,Options,Put,NIFTY,24400.0,1044485
2026-04-20 09:42:00,177.8,NFO,21-APR-2026,182.5,171.8,178.15,5642000,Options,Put,NIFTY,24400.0,1573910
2026-04-20 09:43:00,189.3,NFO,21-APR-2026,189.9,177.2,177.2,5368090,Options,Put,NIFTY,24400.0,1312350
2026-04-20 09:44:00,195.2,NFO,21-APR-2026,197.45,188.6,190.0,5368090,Options,Put,NIFTY,24400.0,1492270
2026-04-20 09:45:00,196.4,NFO,21-APR-2026,202.8,192.9,195.0,5368090,Options,Put,NIFTY,24400.0,1288625
2026-04-20 09:46:00,202.85,NFO,21-APR-2026,203.2,194.85,196.25,4339725,Options,Put,NIFTY,24400.0,600990
2026-04-20 09:47:00,210.05,NFO,21-APR-2026,212.15,203.7,203.7,4339725,Options,Put,NIFTY,24400.0,1066585
2026-04-20 09:48:00,207.8,NFO,21-APR-2026,211.15,204.95,208.15,4339725,Options,Put,NIFTY,24400.0,521365
2026-04-20 09:49:00,203.8,NFO,21-APR-2026,209.1,198.8,208.05,3948100,Options,Put,NIFTY,24400.0,580970
2026-04-20 09:50:00,202.5,NFO,21-APR-2026,210.0,202.2,203.2,3948100,Options,Put,NIFTY,24400.0,525525
2026-04-20 09:51:00,202.5,NFO,21-APR-2026,206.0,197.0,204.15,3948100,Options,Put,NIFTY,24400.0,389480
2026-04-20 09:52:00,197.0,NFO,21-APR-2026,203.35,194.65,202.65,3911310,Options,Put,NIFTY,24400.0,323115
2026-04-20 09:53:00,191.7,NFO,21-APR-2026,198.7,185.95,198.7,3911310,Options,Put,NIFTY,24400.0,757250
2026-04-20 09:54:00,178.0,NFO,21-APR-2026,192.35,176.4,192.0,3911310,Options,Put,NIFTY,24400.0,811915
2026-04-20 09:55:00,176.1,NFO,21-APR-2026,184.4,174.4,178.2,4082065,Options,Put,NIFTY,24400.0,767845
2026-04-20 09:56:00,184.25,NFO,21-APR-2026,186.0,177.1,177.1,4082065,Options,Put,NIFTY,24400.0,795730
2026-04-20 09:57:00,185.35,NFO,21-APR-2026,186.95,180.55,184.4,4082065,Options,Put,NIFTY,24400.0,496665
2026-04-20 09:58:00,184.75,NFO,21-APR-2026,187.7,182.1,185.3,4346355,Options,Put,NIFTY,24400.0,422240
2026-04-20 09:59:00,180.8,NFO,21-APR-2026,186.1,179.5,185.6,4346355,Options,Put,NIFTY,24400.0,340015
