datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2026-05-14 09:15:00,151.35,NFO,19-MAY-2026,167.35,149.15,151.0,1010490,Options,Call,NIFTY,23650.0,489840
2026-05-14 09:16:00,152.35,NFO,19-MAY-2026,161.95,145.2,151.3,1106430,Options,Call,NIFTY,23650.0,520195
2026-05-14 09:17:00,160.1,NFO,19-MAY-2026,160.75,150.75,152.3,1242280,Options,Call,NIFTY,23650.0,448955
2026-05-14 09:18:00,160.35,NFO,19-MAY-2026,168.3,158.4,160.5,1422980,Options,Call,NIFTY,23650.0,675025
2026-05-14 09:19:00,155.15,NFO,19-MAY-2026,160.8,155.15,160.8,1550575,Options,Call,NIFTY,23650.0,388505
2026-05-14 09:20:00,157.6,NFO,19-MAY-2026,163.65,155.3,155.3,1738035,Options,Call,NIFTY,23650.0,435435
2026-05-14 09:21:00,159.0,NFO,19-MAY-2026,165.0,157.6,157.7,1853215,Options,Call,NIFTY,23650.0,362440
2026-05-14 09:22:00,161.9,NFO,19-MAY-2026,165.25,159.3,159.45,1886300,Options,Call,NIFTY,23650.0,301730
2026-05-14 09:23:00,161.7,NFO,19-MAY-2026,163.05,158.35,161.65,1842555,Options,Call,NIFTY,23650.0,228930
2026-05-14 09:24:00,162.1,NFO,19-MAY-2026,162.65,155.5,161.1,1919710,Options,Call,NIFTY,23650.0,231075
2026-05-14 09:25:00,161.55,NFO,19-MAY-2026,164.4,159.6,162.15,1932190,Options,Call,NIFTY,23650.0,209170
2026-05-14 09:26:00,168.95,NFO,19-MAY-2026,172.0,159.95,161.75,1937000,Options,Call,NIFTY,23650.0,502385
2026-05-14 09:27:00,164.1,NFO,19-MAY-2026,170.75,164.1,168.7,1839110,Options,Call,NIFTY,23650.0,295880
2026-05-14 09:28:00,167.0,NFO,19-MAY-2026,168.55,163.55,163.55,1829490,Options,Call,NIFTY,23650.0,203970
2026-05-14 09:29:00,174.2,NFO,19-MAY-2026,175.5,165.85,166.25,1832025,Options,Call,NIFTY,23650.0,464685
2026-05-14 09:30:00,166.7,NFO,19-MAY-2026,177.0,166.3,174.4,1701895,Options,Call,NIFTY,23650.0,369070
2026-05-14 09:31:00,169.2,NFO,19-MAY-2026,169.2,163.9,167.4,1713530,Options,Call,NIFTY,23650.0,258635
2026-05-14 09:32:00,165.5,NFO,19-MAY-2026,168.0,161.95,167.9,1766375,Options,Call,NIFTY,23650.0,211575
2026-05-14 09:33:00,166.35,NFO,19-MAY-2026,168.2,163.65,165.35,1812850,Options,Call,NIFTY,23650.0,122265
2026-05-14 09:34:00,160.85,NFO,19-MAY-2026,168.15,160.8,166.9,1829880,Options,Call,NIFTY,23650.0,196300
2026-05-14 09:35:00,161.2,NFO,19-MAY-2026,162.0,158.35,161.2,1828060,Options,Call,NIFTY,23650.0,208650
2026-05-14 09:36:00,156.05,NFO,19-MAY-2026,165.25,155.35,161.8,1863745,Options,Call,NIFTY,23650.0,213460
2026-05-14 09:37:00,156.7,NFO,19-MAY-2026,157.0,150.6,154.65,1896700,Options,Call,NIFTY,23650.0,317785
2026-05-14 09:38:00,151.7,NFO,19-MAY-2026,157.3,150.5,156.9,1948050,Options,Call,NIFTY,23650.0,148265
2026-05-14 09:39:00,145.55,NFO,19-MAY-2026,151.15,144.75,151.15,1974895,Options,Call,NIFTY,23650.0,263315
2026-05-14 09:40:00,143.4,NFO,19-MAY-2026,145.6,142.7,145.35,1953445,Options,Call,NIFTY,23650.0,194545
2026-05-14 09:41:00,139.35,NFO,19-MAY-2026,144.6,138.9,143.65,1974765,Options,Call,NIFTY,23650.0,175435
2026-05-14 09:42:00,139.05,NFO,19-MAY-2026,140.3,136.6,138.8,1967940,Options,Call,NIFTY,23650.0,237705
2026-05-14 09:43:00,139.75,NFO,19-MAY-2026,142.1,138.9,138.9,1972035,Options,Call,NIFTY,23650.0,159835
2026-05-14 09:44:00,138.55,NFO,19-MAY-2026,141.2,135.6,140.0,2000830,Options,Call,NIFTY,23650.0,145470
2026-05-14 09:45:00,144.15,NFO,19-MAY-2026,144.3,137.7,138.45,2018250,Options,Call,NIFTY,23650.0,200135
2026-05-14 09:46:00,143.05,NFO,19-MAY-2026,149.15,141.7,145.2,2080910,Options,Call,NIFTY,23650.0,284570
2026-05-14 09:47:00,141.95,NFO,19-MAY-2026,146.4,141.25,142.75,2124135,Options,Call,NIFTY,23650.0,103675
2026-05-14 09:48:00,134.2,NFO,19-MAY-2026,143.8,133.95,143.0,2143895,Options,Call,NIFTY,23650.0,195715
2026-05-14 09:49:00,136.1,NFO,19-MAY-2026,137.0,132.85,133.9,2099435,Options,Call,NIFTY,23650.0,140595
2026-05-14 09:50:00,134.85,NFO,19-MAY-2026,138.05,133.85,136.0,2100605,Options,Call,NIFTY,23650.0,105625
2026-05-14 09:51:00,136.5,NFO,19-MAY-2026,138.0,134.3,134.3,2120690,Options,Call,NIFTY,23650.0,72150
2026-05-14 09:52:00,134.8,NFO,19-MAY-2026,137.95,134.8,136.6,2149550,Options,Call,NIFTY,23650.0,65000
2026-05-14 09:53:00,130.0,NFO,19-MAY-2026,135.95,129.55,134.6,2165085,Options,Call,NIFTY,23650.0,198640
2026-05-14 09:54:00,128.05,NFO,19-MAY-2026,131.45,126.6,130.4,2122055,Options,Call,NIFTY,23650.0,154570
2026-05-14 09:55:00,127.8,NFO,19-MAY-2026,130.7,124.8,127.95,2115815,Options,Call,NIFTY,23650.0,151775
2026-05-14 09:56:00,124.1,NFO,19-MAY-2026,129.3,124.0,127.85,2130895,Options,Call,NIFTY,23650.0,115830
2026-05-14 09:57:00,126.3,NFO,19-MAY-2026,126.4,121.65,123.3,2113345,Options,Call,NIFTY,23650.0,254020
2026-05-14 09:58:00,119.6,NFO,19-MAY-2026,126.95,119.6,126.45,2151955,Options,Call,NIFTY,23650.0,108030
2026-05-14 09:59:00,123.6,NFO,19-MAY-2026,124.45,118.25,119.0,2165930,Options,Call,NIFTY,23650.0,193050
2026-05-14 10:00:00,122.35,NFO,19-MAY-2026,125.3,121.4,123.45,2191345,Options,Call,NIFTY,23650.0,116805
2026-05-14 10:01:00,125.85,NFO,19-MAY-2026,126.15,121.75,122.0,2211040,Options,Call,NIFTY,23650.0,80015
2026-05-14 10:02:00,130.15,NFO,19-MAY-2026,130.15,126.05,126.05,2215460,Options,Call,NIFTY,23650.0,178100
2026-05-14 10:03:00,129.5,NFO,19-MAY-2026,131.65,128.15,129.95,2228655,Options,Call,NIFTY,23650.0,177905
2026-05-14 10:04:00,128.55,NFO,19-MAY-2026,130.4,127.0,128.9,2218580,Options,Call,NIFTY,23650.0,65000
2026-05-14 10:05:00,129.2,NFO,19-MAY-2026,131.4,127.85,128.55,2210585,Options,Call,NIFTY,23650.0,91130
2026-05-14 10:06:00,124.8,NFO,19-MAY-2026,129.65,124.5,129.35,2231190,Options,Call,NIFTY,23650.0,119535
2026-05-14 10:07:00,125.15,NFO,19-MAY-2026,127.25,124.55,124.8,2196220,Options,Call,NIFTY,23650.0,67340
2026-05-14 10:08:00,124.1,NFO,19-MAY-2026,126.8,123.15,126.0,2206750,Options,Call,NIFTY,23650.0,72800
2026-05-14 10:09:00,130.6,NFO,19-MAY-2026,132.0,123.0,124.0,2195765,Options,Call,NIFTY,23650.0,120185
2026-05-14 10:10:00,128.4,NFO,19-MAY-2026,131.55,128.4,129.5,2181855,Options,Call,NIFTY,23650.0,65520
2026-05-14 10:11:00,132.95,NFO,19-MAY-2026,132.95,127.45,128.55,2187250,Options,Call,NIFTY,23650.0,61750
2026-05-14 10:12:00,130.75,NFO,19-MAY-2026,133.1,128.15,132.4,2187055,Options,Call,NIFTY,23650.0,82095
2026-05-14 10:13:00,130.0,NFO,19-MAY-2026,134.0,128.7,130.45,2200640,Options,Call,NIFTY,23650.0,84435
2026-05-14 10:14:00,133.55,NFO,19-MAY-2026,134.35,129.35,129.5,2207075,Options,Call,NIFTY,23650.0,62725
2026-05-14 10:15:00,131.5,NFO,19-MAY-2026,133.45,130.75,133.45,2227615,Options,Call,NIFTY,23650.0,77220
2026-05-14 10:16:00,129.6,NFO,19-MAY-2026,131.45,128.1,131.3,2240225,Options,Call,NIFTY,23650.0,65845
2026-05-14 10:17:00,135.65,NFO,19-MAY-2026,136.45,129.25,129.4,2238535,Options,Call,NIFTY,23650.0,146315
2026-05-14 10:18:00,135.0,NFO,19-MAY-2026,138.2,132.6,136.25,2249715,Options,Call,NIFTY,23650.0,165945
2026-05-14 10:19:00,137.2,NFO,19-MAY-2026,137.5,133.9,135.0,2257515,Options,Call,NIFTY,23650.0,102960
2026-05-14 10:20:00,129.45,NFO,19-MAY-2026,137.25,129.45,137.25,2287025,Options,Call,NIFTY,23650.0,141115
2026-05-14 10:21:00,127.05,NFO,19-MAY-2026,130.15,126.5,129.25,2275975,Options,Call,NIFTY,23650.0,137345
